"Reference","Qty","Value","Description","Footprint","Digikey","Mouser","Other"
"C1,C2,C4","3","100nF","Unpolarized capacitor","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","478-5732-ND","","https://www.amazon.com/PANMILED-Multilayer-Monolithic-Capacitors-Assortment/dp/B0CYQ1Z4G5"
"C3","1","1uF","Unpolarized capacitor","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","478-7667-ND","","https://www.amazon.com/PANMILED-Multilayer-Monolithic-Capacitors-Assortment/dp/B0CYQ1Z4G5"
"D1,D2","2","1N914","100V 0.3A Small Signal Fast Switching Diode, DO-35","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1N914FS-ND","",""
"J1","1","PORT","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector","2057-BHR-12-VUA-ND","","https://www.amazon.com/uxcell-2-54mm-2x6-Pin-Straight-Connector/dp/B07DJYVZV2"
"R1,R2","2","100k","Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","","https://www.amazon.com/ALLECIN-8W-Metal-Film-Resistor/dp/B0C77TM3NR"
"SW1","1","0","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW2","1","1","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW3","1","2","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW4","1","3","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW5","1","4","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW6","1","5","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW7","1","6","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW8","1","7","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW9","1","8","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW10","1","9","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW11","1","10","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW12","1","11","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW13","1","12","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW14","1","13","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW15","1","14","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW16","1","15","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW17","1","16","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW18","1","17","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW19","1","18","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW20","1","19","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW21","1","20","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW22","1","21","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW23","1","22","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"SW24","1","23","Push button switch, generic, two pins","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","CH196-ND","","https://www.amazon.com/dp/B0FYR5TV3X"
"U1","1","MM74C922","16-key encoder","Package_DIP:DIP-18_W7.62mm_Socket_LongPads","","","https://www.amazon.com/Todiys-74C922N-MM74C922N-Encoder-MM74C922/dp/B08MCJY9LP"
"U2","1","74HC00","quad 2-input NAND gate","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","296-1563-5-ND","595-SN74HC00N",""
